frame,timestep,cubic_diamond_count,hexagonal_diamond_count,total_crystallized,nucleated
0,100,0,312,312,no
1,200,0,302,302,no
2,300,0,306,306,no
3,400,0,296,296,no
4,500,0,298,298,no
5,600,0,299,299,no
6,700,0,298,298,no
7,800,0,312,312,no
8,900,0,305,305,no
9,1000,0,298,298,no
10,1100,0,289,289,no
11,1200,0,301,301,no
12,1300,0,305,305,no
13,1400,0,299,299,no
14,1500,0,314,314,no
15,1600,0,310,310,no
16,1700,0,307,307,no
17,1800,0,292,292,no
18,1900,0,309,309,no
19,2000,0,303,303,no
20,2100,0,296,296,no
21,2200,0,297,297,no
22,2300,0,284,284,no
23,2400,0,289,289,no
24,2500,0,290,290,no
25,2600,0,311,311,no
26,2700,0,300,300,no
27,2800,0,302,302,no
28,2900,0,303,303,no
29,3000,0,303,303,no
30,3100,0,303,303,no
31,3200,0,305,305,no
32,3300,0,298,298,no
33,3400,0,287,287,no
34,3500,0,291,291,no
35,3600,0,300,300,no
36,3700,0,288,288,no
37,3800,0,302,302,no
38,3900,0,324,324,no
39,4000,0,303,303,no
40,4100,0,310,310,no
41,4200,0,294,294,no
42,4300,0,319,319,no
43,4400,0,309,309,no
44,4500,0,322,322,no
45,4600,0,319,319,no
46,4700,0,312,312,no
47,4800,0,320,320,no
48,4900,0,318,318,no
49,5000,0,315,315,no
50,5100,0,309,309,no
51,5200,0,300,300,no
52,5300,0,318,318,no
53,5400,0,318,318,no
54,5500,0,320,320,no
55,5600,0,318,318,no
56,5700,0,322,322,no
57,5800,0,302,302,no
58,5900,0,316,316,no
59,6000,0,312,312,no
60,6100,0,322,322,no
61,6200,0,307,307,no
62,6300,0,317,317,no
63,6400,0,327,327,no
64,6500,0,312,312,no
65,6600,0,303,303,no
66,6700,0,317,317,no
67,6800,0,314,314,no
68,6900,0,303,303,no
69,7000,0,303,303,no
70,7100,0,318,318,no
71,7200,0,303,303,no
72,7300,0,304,304,no
73,7400,0,315,315,no
74,7500,0,307,307,no
75,7600,0,311,311,no
76,7700,0,314,314,no
77,7800,0,311,311,no
78,7900,0,312,312,no
79,8000,0,316,316,no
80,8100,0,327,327,no
81,8200,0,319,319,no
82,8300,0,314,314,no
83,8400,0,306,306,no
84,8500,0,312,312,no
85,8600,0,313,313,no
86,8700,0,314,314,no
87,8800,0,310,310,no
88,8900,0,303,303,no
89,9000,0,302,302,no
