frame,timestep,cubic_diamond_count,hexagonal_diamond_count
0,100,0,312
1,200,0,302
2,300,0,306
3,400,0,296
4,500,0,298
5,600,0,299
6,700,0,298
7,800,0,312
8,900,0,305
9,1000,0,298
10,1100,0,289
11,1200,0,301
12,1300,0,305
13,1400,0,299
14,1500,0,314
15,1600,0,310
16,1700,0,307
17,1800,0,292
18,1900,0,309
19,2000,0,303
20,2100,0,296
21,2200,0,297
22,2300,0,284
23,2400,0,289
24,2500,0,290
25,2600,0,311
26,2700,0,300
27,2800,0,302
28,2900,0,303
29,3000,0,303
30,3100,0,303
31,3200,0,305
32,3300,0,298
33,3400,0,287
34,3500,0,291
35,3600,0,300
36,3700,0,288
37,3800,0,302
38,3900,0,324
39,4000,0,303
40,4100,0,310
41,4200,0,294
42,4300,0,319
43,4400,0,309
44,4500,0,322
45,4600,0,319
46,4700,0,312
47,4800,0,320
48,4900,0,318
49,5000,0,315
50,5100,0,309
51,5200,0,300
52,5300,0,318
53,5400,0,318
54,5500,0,320
55,5600,0,318
56,5700,0,322
57,5800,0,302
58,5900,0,316
59,6000,0,312
60,6100,0,322
61,6200,0,307
62,6300,0,317
63,6400,0,327
64,6500,0,312
65,6600,0,303
66,6700,0,317
67,6800,0,314
68,6900,0,303
69,7000,0,303
70,7100,0,318
71,7200,0,303
72,7300,0,304
73,7400,0,315
74,7500,0,307
75,7600,0,311
76,7700,0,314
77,7800,0,311
78,7900,0,312
79,8000,0,316
80,8100,0,327
81,8200,0,319
82,8300,0,314
83,8400,0,306
84,8500,0,312
85,8600,0,313
86,8700,0,314
87,8800,0,310
88,8900,0,303
89,9000,0,302
