frame,timestep,cubic_diamond_count,hexagonal_diamond_count
0,100,0,312
1,200,0,302
2,300,0,306
3,400,0,295
4,500,0,315
5,600,0,308
6,700,0,305
7,800,0,294
8,900,0,303
9,1000,0,301
10,1100,0,291
11,1200,0,305
12,1300,0,293
13,1400,0,308
14,1500,0,294
15,1600,0,300
16,1700,0,295
17,1800,0,287
18,1900,0,300
19,2000,0,293
20,2100,0,280
21,2200,0,297
22,2300,0,286
23,2400,0,292
24,2500,0,291
25,2600,0,293
26,2700,0,284
27,2800,0,272
28,2900,0,298
29,3000,0,286
30,3100,0,293
31,3200,0,285
32,3300,0,293
33,3400,0,291
34,3500,0,267
35,3600,0,282
36,3700,0,284
37,3800,0,294
38,3900,0,290
39,4000,0,271
40,4100,0,277
41,4200,0,287
42,4300,0,306
43,4400,0,282
44,4500,0,285
45,4600,0,308
46,4700,0,289
47,4800,0,283
48,4900,0,287
49,5000,0,286
50,5100,0,287
51,5200,0,287
52,5300,0,290
53,5400,0,286
54,5500,0,291
55,5600,0,297
56,5700,0,290
57,5800,0,302
58,5900,0,293
59,6000,0,288
60,6100,0,295
61,6200,0,299
62,6300,0,294
63,6400,0,278
64,6500,0,275
65,6600,0,301
66,6700,0,280
67,6800,0,288
68,6900,0,309
69,7000,0,298
70,7100,0,280
71,7200,0,293
72,7300,0,283
73,7400,0,288
74,7500,0,271
75,7600,0,283
76,7700,0,295
77,7800,0,296
78,7900,0,288
79,8000,0,277
80,8100,0,296
81,8200,0,275
82,8300,0,287
83,8400,0,274
84,8500,0,282
85,8600,0,301
86,8700,0,294
87,8800,0,302
88,8900,0,288
89,9000,0,286
